q1 (deg),q2 (deg),q3 (deg),q4 (deg),q5 (deg),q6 (deg),x (mm),y (mm),z (mm),r_x (deg),r_y (deg),r_z (deg)
80.4312,-82.3042,79.4028,-5.75891,45.529,89.6788,-3.96316,-75.9065,97.8509,-55.2199,-2.00996,-9.34724
80.5298,-85.9912,88.106,33.863,53.087,98.739,-66.6595,-177.094,107.85,-60.7595,13.0428,39.169
80.6152,-97.3902,83.2823,18.938,97.428,78.8969,55.4939,-207.038,51.4116,-107.351,-10.4529,7.61184
80.6312,-74.1459,72.3468,40.511,78.4339,72.1119,-64.4219,-90.9485,60.6653,-86.1674,-12.3871,36.4333
80.6513,-92.9899,72.9587,-6.34299,91.6801,44.574,150.691,-144.669,49.2496,-105.505,-49.298,-15.5356
80.7441,-80.386,91.7729,29.452,80.6117,85.4733,-144.015,-147.254,68.338,-88.1714,1.1619,39.6414
80.7888,-93.5073,71.1058,10.272,52.228,60.3118,134.568,-177.591,109.66,-57.1402,-28.0603,-27.8512
80.7968,-97.6761,98.1013,8.30319,76.4349,67.8227,-47.9059,-200.687,82.9253,-85.2129,-21.2467,6.22034
80.8082,-70.9998,97.1599,36.033,52.595,69.427,-234.014,-158.69,108.609,-56.2453,-9.47105,50.1079
80.8661,-88.7248,89.5739,10.563,75.0781,89.2869,-50.0301,-140.934,75.4975,-84.2037,0.574241,10.6153
80.9331,-72.8052,75.3812,24.508,89.4221,77.6169,-94.3654,-58.1923,42.2676,-98.0558,-8.67704,27.8986
80.9899,-90.4047,89.331,46.107,72.8373,57.6132,-50.9972,-222.612,92.7878,-78.2968,-25.9278,37.6892
81.1411,-83.0262,73.3111,46.162,65.7641,97.8171,6.43842,-157.896,92.9546,-73.3429,12.5804,37.69
81.1572,-65.5361,99.6081,-6.10412,82.1278,69.5387,-315.182,-74.5631,59.7488,-90.0908,-16.8121,26.7201
81.313,-71.838,81.9037,32.941,55.407,88.6182,-141.096,-95.086,98.6781,-62.3726,4.52739,41.3218
81.3268,-98.8129,98.1459,12.461,73.7729,86.1029,-44.8322,-215.633,92.5953,-82.422,-2.59368,10.5656
81.5342,-92.3299,80.9927,27.168,40.078,65.9979,36.0183,-203.903,132.368,-46.5943,-15.6755,-1.24012
81.5502,-82.1197,95.0279,1.9138,74.9308,50.447,-139.003,-109.151,77.2737,-81.2583,-37.5975,8.4934
81.6081,-92.0073,96.2907,11.407,82.487,49.814,-78.1415,-174.286,76.2598,-90.6672,-38.469,15.2969
81.8722,-77.5779,89.9802,30.016,53.276,93.5359,-144.316,-139.307,112.57,-59.6726,8.3891,43.2453
81.8751,-94.8789,79.9247,43.122,97.9632,84.9502,42.268,-236.656,63.9975,-105.699,-1.46374,28.8245
81.8888,-78.7467,73.275,0.627429,99.218,93.9072,6.28498,-46.7311,35.0855,-107.68,2.45245,-6.38977
81.9152,-81.317,70.9001,1.4471,88.1358,78.6218,49.9581,-61.101,53.2709,-96.424,-13.1804,-8.21581
81.9891,-61.6921,71.8478,2.6087,90.3818,94.9019,-166.089,39.3218,37.9931,-98.7181,6.34618,11.1695
81.9943,-75.7078,82.1593,17.08,40.441,47.442,-101.244,-91.9195,120.152,-40.8997,-27.5609,-8.06002
82.0057,-83.0279,99.4849,23.643,96.7737,54.019,-175.143,-176.819,59.4659,-105.113,-30.5516,48.0612
82.0321,-65.7458,94.8102,-3.8555,57.49,87.5978,-278.542,-59.9362,98.9223,-64.9596,0.927561,23.0191
82.0458,-99.8763,74.2828,17.13,54.011,99.8218,143.622,-238.31,125.51,-62.195,7.18916,-4.44508
82.2922,-78.7582,93.9439,45.176,57.8859,78.9868,-153.654,-185.478,116.835,-61.946,-3.25512,54.6313
82.3249,-89.2519,84.8338,5.2231,85.1071,97.5787,-0.904246,-128.403,71.102,-92.7517,7.06629,-0.0716043
82.3432,-79.8079,93.4328,-0.24142,70.0687,99.2781,-144.796,-92.8988,88.7917,-77.6727,10.409,14.5815
82.6858,-82.6629,72.6877,20.056,50.155,81.3039,24.6281,-114.417,118.507,-57.5405,-6.33693,4.60289
82.7128,-97.2802,73.8371,-6.72297,74.7349,47.636,175.838,-182.397,95.5311,-77.8305,-46.1615,-38.5138
82.7529,-72.9868,72.1869,-1.7472,90.0019,42.953,-39.8732,-4.87289,52.0173,-100.444,-47.4949,4.80639
82.8268,-64.805,75.3651,40.543,52.429,92.9143,-157.624,-66.9187,112.04,-56.7573,7.71026,52.244
82.8732,-96.1847,85.526,29.776,85.4251,95.4129,18.3237,-219.109,86.6919,-92.5375,7.27166,18.1915
83.0073,-75.882,79.1289,32.515,75.6138,70.8113,-94.4327,-99.7482,87.4673,-81.4058,-15.3035,31.9608
83.0078,-95.6118,73.7597,29.081,42.924,95.9309,107.563,-233.455,143.287,-50.3132,5.24673,10.3008
83.1952,-88.047,76.3959,39.853,83.7212,79.6428,21.2576,-179.694,86.6218,-90.1915,-7.57191,27.328
83.2439,-80.5029,87.1417,24.455,97.2137,52.877,-110.194,-127.182,61.844,-105.748,-33.2166,39.7264
83.2599,-86.2851,88.4469,39.951,87.4918,62.5847,-76.9228,-188.933,83.2933,-93.0947,-23.3611,42.5674
83.3252,-64.0028,76.1352,22.295,68.9601,59.2192,-182.231,-24.6816,91.3031,-72.8221,-26.1953,24.6176
83.402,-78.1652,81.344,14.178,42.932,97.322,-73.5236,-96.8065,130.768,-49.3796,7.34266,21.1915
83.4112,-74.492,81.8957,10.337,67.1168,40.56,-115.1,-57.9381,98.0489,-66.028,-45.209,-0.899063
83.4112,-97.2481,85.1627,32.26,46.481,64.4469,33.6517,-247.08,144.255,-50.6999,-18.1312,3.48276
83.4822,-92.1179,88.62,34.941,63.5611,63.0741,-31.1214,-213.408,120.924,-67.7188,-22.0907,20.4855
83.7962,-79.4228,73.746,46.624,51.582,84.9112,-17.8928,-147.217,130.322,-56.7517,-0.421128,37.2092
83.9452,-88.8463,88.6721,24.101,77.0359,51.197,-53.6177,-169.787,101.064,-80.76,-36.5145,17.2946
83.995,-84.7359,94.9832,17.18,43.351,98.5419,-117.218,-169.769,143.721,-48.7175,9.04901,32.0779
84.0793,-69.1938,89.2221,33.835,57.8533,53.219,-210.388,-119.626,123.294,-57.0683,-27.8503,33.8933
84.1142,-76.479,78.7061,33.703,95.9739,60.2878,-87.6048,-106.694,68.6912,-102.299,-26.3062,41.1816
84.1262,-71.8409,75.7972,39.479,93.2368,96.4741,-109.3,-89.9409,71.1562,-98.2967,10.1164,41.8179
84.132,-92.6587,86.394,43.155,91.5208,97.298,-18.2888,-228.447,87.5844,-97.0356,10.4134,35.2786
84.2489,-89.3877,78.7261,47.484,93.0168,88.8657,12.0332,-209.197,84.0876,-98.2943,1.95855,36.2533
84.395,-95.166,91.4561,13.402,67.1317,59.7417,-17.8627,-193.142,120.436,-70.3213,-28.3049,-0.665225
84.6419,-81.7032,93.4408,23.438,75.4287,44.274,-143.232,-150.056,107.385,-76.2021,-42.337,24.4687
84.7072,-65.4919,89.2622,19.874,85.1341,53.408,-256.849,-77.946,88.2429,-88.6661,-33.5705,42.1606
84.7141,-96.3171,99.7153,11.794,60.7788,48.463,-71.4439,-215.295,133.467,-59.6223,-36.2985,-5.04692
84.7238,-79.1111,79.059,49.423,42.916,77.9721,-47.2285,-166.032,148.899,-46.5511,-5.13428,40.1062
84.8992,-89.1889,82.0659,6.14549,94.3868,67.3861,20.3682,-130.872,79.4562,-100.233,-22.9773,2.55941
85.0252,-73.1432,77.5309,31.173,57.246,76.5878,-101.425,-89.6815,128.859,-61.1184,-9.26759,28.2389
85.0642,-88.8067,77.2863,41.836,45.078,96.6603,31.6364,-208.514,152.597,-49.5619,7.43569,33.7014
85.1192,-70.8542,81.5158,24.25,71.9411,48.908,-154.128,-71.9389,109.329,-72.3675,-37.3965,22.5556
85.1782,-80.7108,83.1367,-0.0821432,54.74,63.8412,-54.9595,-82.0065,132.527,-56.8175,-22.4305,-12.221
85.208,-73.1679,83.6748,13.185,82.228,93.784,-144.981,-62.6797,94.9683,-87.0416,5.30129,23.2157
85.2939,-72.0758,71.6272,31.03,52.125,94.6108,-67.9652,-74.911,135.973,-56.5748,6.07891,32.3119
85.4859,-90.8213,99.4517,14.768,52.362,87.462,-107.038,-201.346,147.991,-56.9134,-0.563424,21.0213
85.5162,-71.6438,97.4641,19.576,94.5512,97.6079,-253.074,-131.659,86.3926,-98.3562,10.5172,43.6245
85.5609,-62.8328,77.2129,-3.186,74.9669,89.429,-187.488,25.3969,102.098,-79.658,-0.028154,10.1646
85.7729,-70.546,99.6379,7.15682,80.3361,71.3819,-275.008,-114.009,107.956,-83.6601,-16.5209,33.3118
85.9649,-62.6862,73.2653,10.88,89.123,64.4641,-172.86,12.2429,87.1372,-93.3808,-24.4694,22.0397
86.0319,-70.4389,83.288,4.1677,59.6059,77.0978,-158.549,-42.6943,132.28,-63.0904,-10.7433,10.2566
86.0508,-96.5778,95.4897,-9.11421,86.0949,79.2807,-8.82728,-168.933,104.239,-89.9859,-12.0182,-10.7903
86.1012,-93.7319,98.6272,33.762,70.9992,42.739,-92.4573,-243.066,131.464,-68.0474,-43.0607,21.8456
86.127,-85.0567,84.8688,36.634,55.486,49.08,-52.3689,-180.038,147.01,-52.1411,-32.2216,11.8726
86.1499,-76.5609,97.7099,2.3403,88.6377,96.1669,-208.423,-107.168,98.3476,-92.7964,7.47962,22.463
86.1631,-68.61,89.614,39.989,47.152,72.207,-204.128,-137.466,154.655,-47.4365,-10.5269,48.1458
86.2038,-76.059,99.862,-9.41192,89.9332,59.61,-218.615,-92.2173,96.1262,-94.1816,-29.8022,15.7047
86.2193,-84.615,90.262,30.811,87.0541,97.746,-101.197,-169.638,104.562,-90.7408,9.63592,35.6999
86.2301,-74.2089,75.3439,46.735,61.6021,96.0988,-76.7721,-121.667,136.416,-64.5543,8.16934,49.8115
86.3843,-95.0428,75.5233,20.922,89.594,84.5479,97.9492,-198.876,102.754,-93.3269,-5.92651,1.13835
86.4708,-75.3428,89.119,-4.9445,74.233,73.6801,-148.386,-56.9868,118.069,-77.3503,-15.8724,4.59765
86.5012,-66.1067,93.2592,27.538,76.342,91.5907,-270.49,-118.495,119.638,-78.3207,3.83065,54.653
87.0151,-69.9232,72.5502,39.775,78.1108,98.2961,-103.714,-77.3626,118.536,-80.9287,9.96182,43.0218
